Temperature (C)	Pressure (MPa)	Density (g/ml)	Volume (ml/g)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
73.337	0.10132	0.97583	1.0248	5.5307	5.5326	17.937	70.399	75.522	1555.1	-0.19334	385.78	0.66234	liquid
73.520	0.10132	0.97572	1.0249	5.5446	5.5465	17.977	70.382	75.524	1555.1	-0.19324	384.84	0.66247	liquid
73.703	0.10132	0.97561	1.0250	5.5584	5.5603	18.017	70.364	75.526	1555.1	-0.19314	383.91	0.66261	liquid
73.887	0.10132	0.97550	1.0251	5.5723	5.5741	18.057	70.347	75.528	1555.1	-0.19304	382.98	0.66275	liquid
74.070	0.10132	0.97540	1.0252	5.5861	5.5880	18.097	70.330	75.531	1555.1	-0.19294	382.05	0.66288	liquid
74.253	0.10132	0.97529	1.0253	5.6000	5.6018	18.136	70.313	75.533	1555.1	-0.19284	381.13	0.66302	liquid
74.437	0.10132	0.97518	1.0255	5.6138	5.6157	18.176	70.295	75.535	1555.1	-0.19274	380.21	0.66315	liquid
74.620	0.10132	0.97507	1.0256	5.6277	5.6295	18.216	70.278	75.537	1555.1	-0.19264	379.30	0.66329	liquid
74.803	0.10132	0.97496	1.0257	5.6415	5.6434	18.256	70.261	75.539	1555.1	-0.19254	378.39	0.66342	liquid
74.987	0.10132	0.97485	1.0258	5.6554	5.6572	18.296	70.243	75.542	1555.1	-0.19243	377.48	0.66355	liquid
75.170	0.10132	0.97474	1.0259	5.6692	5.6711	18.335	70.226	75.544	1555.1	-0.19233	376.58	0.66368	liquid
75.353	0.10132	0.97463	1.0260	5.6831	5.6849	18.375	70.209	75.546	1555.1	-0.19223	375.68	0.66382	liquid
75.536	0.10132	0.97452	1.0261	5.6969	5.6988	18.415	70.192	75.548	1555.0	-0.19213	374.78	0.66395	liquid
75.720	0.10132	0.97441	1.0263	5.7107	5.7126	18.455	70.174	75.550	1555.0	-0.19203	373.89	0.66408	liquid
75.903	0.10132	0.97430	1.0264	5.7246	5.7265	18.494	70.157	75.553	1555.0	-0.19193	373.00	0.66421	liquid
76.086	0.10132	0.97419	1.0265	5.7384	5.7403	18.534	70.140	75.555	1555.0	-0.19183	372.12	0.66434	liquid
76.270	0.10132	0.97408	1.0266	5.7523	5.7542	18.574	70.123	75.557	1555.0	-0.19173	371.24	0.66447	liquid
76.453	0.10132	0.97397	1.0267	5.7661	5.7680	18.613	70.105	75.559	1555.0	-0.19163	370.36	0.66460	liquid
76.636	0.10132	0.97386	1.0268	5.7800	5.7819	18.653	70.088	75.562	1555.0	-0.19152	369.48	0.66472	liquid
76.820	0.10132	0.97375	1.0270	5.7939	5.7957	18.692	70.071	75.564	1554.9	-0.19142	368.61	0.66485	liquid
77.003	0.10132	0.97364	1.0271	5.8077	5.8096	18.732	70.053	75.566	1554.9	-0.19132	367.75	0.66498	liquid
77.186	0.10132	0.97352	1.0272	5.8216	5.8234	18.772	70.036	75.569	1554.9	-0.19122	366.88	0.66511	liquid
77.370	0.10132	0.97341	1.0273	5.8354	5.8373	18.811	70.019	75.571	1554.9	-0.19112	366.02	0.66523	liquid
77.553	0.10132	0.97330	1.0274	5.8493	5.8511	18.851	70.001	75.573	1554.9	-0.19102	365.17	0.66536	liquid
77.736	0.10132	0.97319	1.0276	5.8631	5.8650	18.890	69.984	75.576	1554.8	-0.19092	364.31	0.66549	liquid
77.920	0.10132	0.97308	1.0277	5.8770	5.8788	18.930	69.967	75.578	1554.8	-0.19081	363.46	0.66561	liquid
78.103	0.10132	0.97296	1.0278	5.8908	5.8927	18.969	69.950	75.580	1554.8	-0.19071	362.62	0.66573	liquid
78.286	0.10132	0.97285	1.0279	5.9047	5.9066	19.008	69.932	75.583	1554.8	-0.19061	361.77	0.66586	liquid
78.470	0.10132	0.97274	1.0280	5.9185	5.9204	19.048	69.915	75.585	1554.7	-0.19051	360.93	0.66598	liquid
78.653	0.10132	0.97263	1.0281	5.9324	5.9343	19.087	69.898	75.588	1554.7	-0.19041	360.10	0.66611	liquid
78.836	0.10132	0.97251	1.0283	5.9463	5.9481	19.127	69.880	75.590	1554.7	-0.19031	359.26	0.66623	liquid
79.019	0.10132	0.97240	1.0284	5.9601	5.9620	19.166	69.863	75.592	1554.6	-0.19020	358.43	0.66635	liquid
79.203	0.10132	0.97229	1.0285	5.9740	5.9758	19.205	69.846	75.595	1554.6	-0.19010	357.61	0.66647	liquid
79.386	0.10132	0.97217	1.0286	5.9878	5.9897	19.245	69.828	75.597	1554.6	-0.19000	356.78	0.66659	liquid
79.569	0.10132	0.97206	1.0287	6.0017	6.0036	19.284	69.811	75.600	1554.5	-0.18990	355.96	0.66671	liquid
79.753	0.10132	0.97194	1.0289	6.0155	6.0174	19.323	69.794	75.602	1554.5	-0.18980	355.15	0.66683	liquid
79.936	0.10132	0.97183	1.0290	6.0294	6.0313	19.363	69.776	75.605	1554.4	-0.18970	354.33	0.66695	liquid
80.119	0.10132	0.97172	1.0291	6.0433	6.0451	19.402	69.759	75.607	1554.4	-0.18959	353.52	0.66707	liquid
80.303	0.10132	0.97160	1.0292	6.0571	6.0590	19.441	69.742	75.610	1554.4	-0.18949	352.72	0.66719	liquid
80.486	0.10132	0.97149	1.0293	6.0710	6.0729	19.480	69.724	75.612	1554.3	-0.18939	351.91	0.66731	liquid
80.669	0.10132	0.97137	1.0295	6.0848	6.0867	19.519	69.707	75.615	1554.3	-0.18929	351.11	0.66743	liquid
80.853	0.10132	0.97126	1.0296	6.0987	6.1006	19.559	69.690	75.617	1554.2	-0.18919	350.31	0.66754	liquid
81.036	0.10132	0.97114	1.0297	6.1126	6.1144	19.598	69.672	75.620	1554.2	-0.18908	349.52	0.66766	liquid
81.219	0.10132	0.97103	1.0298	6.1264	6.1283	19.637	69.655	75.622	1554.1	-0.18898	348.73	0.66778	liquid
81.403	0.10132	0.97091	1.0300	6.1403	6.1422	19.676	69.638	75.625	1554.1	-0.18888	347.94	0.66789	liquid
81.586	0.10132	0.97080	1.0301	6.1542	6.1560	19.715	69.620	75.628	1554.0	-0.18878	347.15	0.66801	liquid
81.769	0.10132	0.97068	1.0302	6.1680	6.1699	19.754	69.603	75.630	1554.0	-0.18867	346.37	0.66812	liquid
81.953	0.10132	0.97056	1.0303	6.1819	6.1838	19.793	69.586	75.633	1553.9	-0.18857	345.59	0.66824	liquid
82.136	0.10132	0.97045	1.0305	6.1957	6.1976	19.832	69.568	75.635	1553.9	-0.18847	344.82	0.66835	liquid
82.319	0.10132	0.97033	1.0306	6.2096	6.2115	19.871	69.551	75.638	1553.8	-0.18837	344.04	0.66846	liquid
82.502	0.10132	0.97021	1.0307	6.2235	6.2254	19.910	69.534	75.641	1553.8	-0.18826	343.27	0.66858	liquid
82.686	0.10132	0.97010	1.0308	6.2373	6.2392	19.949	69.516	75.643	1553.7	-0.18816	342.51	0.66869	liquid
82.869	0.10132	0.96998	1.0309	6.2512	6.2531	19.988	69.499	75.646	1553.6	-0.18806	341.74	0.66880	liquid
83.052	0.10132	0.96986	1.0311	6.2651	6.2670	20.027	69.482	75.649	1553.6	-0.18796	340.98	0.66891	liquid
83.236	0.10132	0.96975	1.0312	6.2789	6.2808	20.066	69.464	75.651	1553.5	-0.18785	340.22	0.66902	liquid
83.419	0.10132	0.96963	1.0313	6.2928	6.2947	20.105	69.447	75.654	1553.5	-0.18775	339.47	0.66913	liquid
83.602	0.10132	0.96951	1.0314	6.3067	6.3086	20.144	69.430	75.657	1553.4	-0.18765	338.72	0.66924	liquid
83.786	0.10132	0.96939	1.0316	6.3205	6.3224	20.183	69.412	75.659	1553.3	-0.18755	337.97	0.66935	liquid
83.969	0.10132	0.96928	1.0317	6.3344	6.3363	20.221	69.395	75.662	1553.3	-0.18744	337.22	0.66946	liquid
84.152	0.10132	0.96916	1.0318	6.3483	6.3502	20.260	69.377	75.665	1553.2	-0.18734	336.48	0.66957	liquid
84.336	0.10132	0.96904	1.0319	6.3622	6.3640	20.299	69.360	75.667	1553.1	-0.18724	335.74	0.66968	liquid
84.519	0.10132	0.96892	1.0321	6.3760	6.3779	20.338	69.343	75.670	1553.1	-0.18713	335.00	0.66979	liquid
84.702	0.10132	0.96880	1.0322	6.3899	6.3918	20.377	69.325	75.673	1553.0	-0.18703	334.26	0.66989	liquid
84.886	0.10132	0.96869	1.0323	6.4038	6.4057	20.415	69.308	75.676	1552.9	-0.18693	333.53	0.67000	liquid
85.069	0.10132	0.96857	1.0325	6.4176	6.4195	20.454	69.291	75.679	1552.8	-0.18682	332.80	0.67011	liquid
85.252	0.10132	0.96845	1.0326	6.4315	6.4334	20.493	69.273	75.681	1552.8	-0.18672	332.07	0.67021	liquid
85.436	0.10132	0.96833	1.0327	6.4454	6.4473	20.532	69.256	75.684	1552.7	-0.18662	331.35	0.67032	liquid
85.619	0.10132	0.96821	1.0328	6.4593	6.4612	20.570	69.239	75.687	1552.6	-0.18651	330.63	0.67042	liquid
85.802	0.10132	0.96809	1.0330	6.4731	6.4750	20.609	69.221	75.690	1552.5	-0.18641	329.91	0.67053	liquid
85.986	0.10132	0.96797	1.0331	6.4870	6.4889	20.648	69.204	75.693	1552.5	-0.18631	329.19	0.67063	liquid
86.169	0.10132	0.96785	1.0332	6.5009	6.5028	20.686	69.187	75.696	1552.4	-0.18620	328.48	0.67073	liquid
86.352	0.10132	0.96773	1.0333	6.5148	6.5167	20.725	69.169	75.698	1552.3	-0.18610	327.77	0.67084	liquid
86.535	0.10132	0.96761	1.0335	6.5286	6.5305	20.763	69.152	75.701	1552.2	-0.18600	327.06	0.67094	liquid
86.719	0.10132	0.96749	1.0336	6.5425	6.5444	20.802	69.135	75.704	1552.1	-0.18589	326.36	0.67104	liquid
86.902	0.10132	0.96737	1.0337	6.5564	6.5583	20.841	69.117	75.707	1552.1	-0.18579	325.66	0.67114	liquid
87.085	0.10132	0.96725	1.0339	6.5703	6.5722	20.879	69.100	75.710	1552.0	-0.18569	324.96	0.67124	liquid
87.269	0.10132	0.96713	1.0340	6.5842	6.5860	20.918	69.083	75.713	1551.9	-0.18558	324.26	0.67135	liquid
87.452	0.10132	0.96701	1.0341	6.5980	6.5999	20.956	69.065	75.716	1551.8	-0.18548	323.56	0.67145	liquid
87.635	0.10132	0.96689	1.0342	6.6119	6.6138	20.995	69.048	75.719	1551.7	-0.18537	322.87	0.67154	liquid
87.819	0.10132	0.96676	1.0344	6.6258	6.6277	21.033	69.031	75.722	1551.6	-0.18527	322.18	0.67164	liquid
88.002	0.10132	0.96664	1.0345	6.6397	6.6416	21.072	69.013	75.725	1551.5	-0.18517	321.50	0.67174	liquid
88.185	0.10132	0.96652	1.0346	6.6536	6.6555	21.110	68.996	75.728	1551.4	-0.18506	320.81	0.67184	liquid
88.369	0.10132	0.96640	1.0348	6.6674	6.6693	21.148	68.979	75.731	1551.3	-0.18496	320.13	0.67194	liquid
88.552	0.10132	0.96628	1.0349	6.6813	6.6832	21.187	68.961	75.734	1551.2	-0.18485	319.45	0.67204	liquid
88.735	0.10132	0.96616	1.0350	6.6952	6.6971	21.225	68.944	75.737	1551.1	-0.18475	318.78	0.67213	liquid
88.919	0.10132	0.96603	1.0352	6.7091	6.7110	21.263	68.927	75.740	1551.0	-0.18464	318.10	0.67223	liquid
89.102	0.10132	0.96591	1.0353	6.7230	6.7249	21.302	68.909	75.743	1550.9	-0.18454	317.43	0.67233	liquid
89.285	0.10132	0.96579	1.0354	6.7369	6.7388	21.340	68.892	75.746	1550.8	-0.18444	316.76	0.67242	liquid
89.469	0.10132	0.96567	1.0356	6.7507	6.7526	21.378	68.875	75.749	1550.7	-0.18433	316.09	0.67252	liquid
89.652	0.10132	0.96554	1.0357	6.7646	6.7665	21.417	68.857	75.752	1550.6	-0.18423	315.43	0.67261	liquid
89.835	0.10132	0.96542	1.0358	6.7785	6.7804	21.455	68.840	75.755	1550.5	-0.18412	314.77	0.67270	liquid
90.018	0.10132	0.96530	1.0360	6.7924	6.7943	21.493	68.823	75.758	1550.4	-0.18402	314.11	0.67280	liquid
90.202	0.10132	0.96517	1.0361	6.8063	6.8082	21.531	68.806	75.761	1550.3	-0.18391	313.45	0.67289	liquid
90.385	0.10132	0.96505	1.0362	6.8202	6.8221	21.570	68.788	75.764	1550.2	-0.18381	312.80	0.67298	liquid
90.568	0.10132	0.96493	1.0363	6.8341	6.8360	21.608	68.771	75.768	1550.1	-0.18370	312.15	0.67308	liquid
90.752	0.10132	0.96480	1.0365	6.8480	6.8499	21.646	68.754	75.771	1550.0	-0.18360	311.50	0.67317	liquid
90.935	0.10132	0.96468	1.0366	6.8619	6.8637	21.684	68.736	75.774	1549.9	-0.18349	310.85	0.67326	liquid
91.118	0.10132	0.96455	1.0367	6.8757	6.8776	21.722	68.719	75.777	1549.8	-0.18339	310.20	0.67335	liquid
91.302	0.10132	0.96443	1.0369	6.8896	6.8915	21.760	68.702	75.780	1549.7	-0.18328	309.56	0.67344	liquid
91.485	0.10132	0.96431	1.0370	6.9035	6.9054	21.799	68.684	75.783	1549.6	-0.18318	308.92	0.67353	liquid
91.668	0.10132	0.96418	1.0371	6.9174	6.9193	21.837	68.667	75.787	1549.5	-0.18307	308.28	0.67362	liquid
91.852	0.10132	0.96406	1.0373	6.9313	6.9332	21.875	68.650	75.790	1549.3	-0.18296	307.65	0.67371	liquid
92.035	0.10132	0.96393	1.0374	6.9452	6.9471	21.913	68.633	75.793	1549.2	-0.18286	307.01	0.67380	liquid
92.218	0.10132	0.96381	1.0376	6.9591	6.9610	21.951	68.615	75.796	1549.1	-0.18275	306.38	0.67389	liquid
92.402	0.10132	0.96368	1.0377	6.9730	6.9749	21.989	68.598	75.800	1549.0	-0.18265	305.76	0.67397	liquid
92.585	0.10132	0.96356	1.0378	6.9869	6.9888	22.027	68.581	75.803	1548.9	-0.18254	305.13	0.67406	liquid
92.768	0.10132	0.96343	1.0380	7.0008	7.0027	22.065	68.563	75.806	1548.8	-0.18244	304.51	0.67415	liquid
92.952	0.10132	0.96330	1.0381	7.0147	7.0166	22.103	68.546	75.810	1548.6	-0.18233	303.88	0.67423	liquid
93.135	0.10132	0.96318	1.0382	7.0286	7.0305	22.141	68.529	75.813	1548.5	-0.18222	303.26	0.67432	liquid
93.318	0.10132	0.96305	1.0384	7.0425	7.0444	22.179	68.512	75.816	1548.4	-0.18212	302.65	0.67440	liquid
93.501	0.10132	0.96293	1.0385	7.0564	7.0583	22.217	68.494	75.820	1548.3	-0.18201	302.03	0.67449	liquid
93.685	0.10132	0.96280	1.0386	7.0703	7.0722	22.255	68.477	75.823	1548.1	-0.18190	301.42	0.67457	liquid
93.868	0.10132	0.96267	1.0388	7.0842	7.0861	22.292	68.460	75.826	1548.0	-0.18180	300.81	0.67466	liquid
94.051	0.10132	0.96255	1.0389	7.0981	7.1000	22.330	68.443	75.830	1547.9	-0.18169	300.20	0.67474	liquid
94.235	0.10132	0.96242	1.0390	7.1120	7.1139	22.368	68.425	75.833	1547.7	-0.18159	299.59	0.67482	liquid
94.418	0.10132	0.96229	1.0392	7.1259	7.1278	22.406	68.408	75.836	1547.6	-0.18148	298.99	0.67491	liquid
94.601	0.10132	0.96217	1.0393	7.1398	7.1417	22.444	68.391	75.840	1547.5	-0.18137	298.39	0.67499	liquid
94.785	0.10132	0.96204	1.0395	7.1537	7.1556	22.482	68.374	75.843	1547.4	-0.18126	297.79	0.67507	liquid
94.968	0.10132	0.96191	1.0396	7.1676	7.1695	22.519	68.356	75.847	1547.2	-0.18116	297.19	0.67515	liquid
95.151	0.10132	0.96178	1.0397	7.1815	7.1834	22.557	68.339	75.850	1547.1	-0.18105	296.59	0.67523	liquid
95.335	0.10132	0.96165	1.0399	7.1954	7.1973	22.595	68.322	75.854	1547.0	-0.18094	296.00	0.67531	liquid
95.518	0.10132	0.96153	1.0400	7.2093	7.2112	22.633	68.305	75.857	1546.8	-0.18084	295.41	0.67539	liquid
95.701	0.10132	0.96140	1.0402	7.2232	7.2251	22.670	68.287	75.861	1546.7	-0.18073	294.82	0.67547	liquid
95.885	0.10132	0.96127	1.0403	7.2371	7.2390	22.708	68.270	75.864	1546.5	-0.18062	294.23	0.67555	liquid
96.068	0.10132	0.96114	1.0404	7.2510	7.2529	22.746	68.253	75.868	1546.4	-0.18052	293.65	0.67563	liquid
96.251	0.10132	0.96101	1.0406	7.2649	7.2668	22.783	68.236	75.871	1546.3	-0.18041	293.06	0.67571	liquid
96.435	0.10132	0.96088	1.0407	7.2788	7.2807	22.821	68.218	75.875	1546.1	-0.18030	292.48	0.67579	liquid
96.618	0.10132	0.96076	1.0408	7.2927	7.2946	22.859	68.201	75.878	1546.0	-0.18019	291.91	0.67586	liquid
96.801	0.10132	0.96063	1.0410	7.3067	7.3086	22.896	68.184	75.882	1545.8	-0.18008	291.33	0.67594	liquid
96.985	0.10132	0.96050	1.0411	7.3206	7.3225	22.934	68.167	75.886	1545.7	-0.17998	290.75	0.67602	liquid
97.168	0.10132	0.96037	1.0413	7.3345	7.3364	22.971	68.150	75.889	1545.5	-0.17987	290.18	0.67609	liquid
97.351	0.10132	0.96024	1.0414	7.3484	7.3503	23.009	68.132	75.893	1545.4	-0.17976	289.61	0.67617	liquid
97.534	0.10132	0.96011	1.0415	7.3623	7.3642	23.046	68.115	75.896	1545.2	-0.17965	289.04	0.67624	liquid
97.718	0.10132	0.95998	1.0417	7.3762	7.3781	23.084	68.098	75.900	1545.1	-0.17954	288.47	0.67632	liquid
97.901	0.10132	0.95985	1.0418	7.3901	7.3920	23.121	68.081	75.904	1544.9	-0.17944	287.91	0.67639	liquid
98.084	0.10132	0.95972	1.0420	7.4040	7.4059	23.159	68.064	75.907	1544.8	-0.17933	287.35	0.67647	liquid
98.268	0.10132	0.95959	1.0421	7.4180	7.4199	23.196	68.047	75.911	1544.6	-0.17922	286.79	0.67654	liquid
98.451	0.10132	0.95946	1.0423	7.4319	7.4338	23.234	68.029	75.915	1544.5	-0.17911	286.23	0.67661	liquid
98.634	0.10132	0.95933	1.0424	7.4458	7.4477	23.271	68.012	75.918	1544.3	-0.17900	285.67	0.67669	liquid
98.818	0.10132	0.95920	1.0425	7.4597	7.4616	23.309	67.995	75.922	1544.2	-0.17889	285.12	0.67676	liquid
99.001	0.10132	0.95907	1.0427	7.4736	7.4755	23.346	67.978	75.926	1544.0	-0.17879	284.56	0.67683	liquid
99.184	0.10132	0.95893	1.0428	7.4875	7.4894	23.384	67.961	75.930	1543.9	-0.17868	284.01	0.67690	liquid
99.368	0.10132	0.95880	1.0430	7.5015	7.5034	23.421	67.944	75.933	1543.7	-0.17857	283.46	0.67697	liquid
99.551	0.10132	0.95867	1.0431	7.5154	7.5173	23.458	67.926	75.937	1543.6	-0.17846	282.91	0.67704	liquid
99.734	0.10132	0.95854	1.0433	7.5293	7.5312	23.496	67.909	75.941	1543.4	-0.17835	282.37	0.67711	liquid
99.918	0.10132	0.95841	1.0434	7.5432	7.5451	23.533	67.892	75.945	1543.2	-0.17824	281.83	0.67718	liquid
99.974	0.10132	0.95837	1.0434	7.5475	7.5494	23.545	67.887	75.946	1543.2	-0.17821	281.66	0.67720	liquid
99.974	0.10133	0.00059766	1673.2	45.146	48.200	132.49	28.027	37.471	472.18	66.729	12.231	0.024568	vapor
100.10	0.10132	0.00059744	1673.8	45.150	48.205	132.50	28.020	37.460	472.27	66.600	12.236	0.024578	vapor
100.28	0.10132	0.00059712	1674.7	45.155	48.212	132.52	28.009	37.444	472.40	66.416	12.243	0.024593	vapor
100.47	0.10132	0.00059680	1675.6	45.160	48.219	132.54	27.998	37.429	472.54	66.232	12.250	0.024609	vapor
100.65	0.10132	0.00059649	1676.5	45.165	48.226	132.56	27.988	37.414	472.67	66.049	12.257	0.024624	vapor
100.83	0.10132	0.00059617	1677.4	45.171	48.233	132.58	27.977	37.399	472.80	65.868	12.264	0.024639	vapor
101.02	0.10132	0.00059585	1678.3	45.176	48.239	132.60	27.967	37.384	472.93	65.688	12.271	0.024654	vapor
101.20	0.10132	0.00059554	1679.2	45.181	48.246	132.61	27.956	37.370	473.06	65.509	12.279	0.024669	vapor
101.38	0.10132	0.00059522	1680.0	45.186	48.253	132.63	27.946	37.355	473.19	65.331	12.286	0.024685	vapor
101.57	0.10132	0.00059491	1680.9	45.192	48.260	132.65	27.936	37.341	473.32	65.155	12.293	0.024700	vapor
101.75	0.10132	0.00059459	1681.8	45.197	48.267	132.67	27.926	37.327	473.45	64.979	12.300	0.024715	vapor
101.93	0.10132	0.00059428	1682.7	45.202	48.274	132.69	27.917	37.313	473.58	64.805	12.307	0.024730	vapor
102.12	0.10132	0.00059397	1683.6	45.207	48.280	132.71	27.907	37.299	473.71	64.631	12.314	0.024745	vapor
102.30	0.10132	0.00059365	1684.5	45.212	48.287	132.72	27.898	37.286	473.84	64.459	12.321	0.024761	vapor
102.48	0.10132	0.00059334	1685.4	45.218	48.294	132.74	27.888	37.272	473.97	64.288	12.328	0.024776	vapor
102.67	0.10132	0.00059303	1686.3	45.223	48.301	132.76	27.879	37.259	474.10	64.118	12.335	0.024791	vapor
102.85	0.10132	0.00059272	1687.1	45.228	48.308	132.78	27.870	37.246	474.23	63.948	12.342	0.024806	vapor
103.03	0.10132	0.00059241	1688.0	45.233	48.315	132.80	27.861	37.233	474.36	63.780	12.349	0.024821	vapor
103.22	0.10132	0.00059210	1688.9	45.239	48.321	132.82	27.852	37.220	474.49	63.613	12.356	0.024837	vapor
103.40	0.10132	0.00059178	1689.8	45.244	48.328	132.83	27.843	37.207	474.61	63.447	12.363	0.024852	vapor
103.58	0.10132	0.00059147	1690.7	45.249	48.335	132.85	27.834	37.194	474.74	63.281	12.370	0.024867	vapor
103.77	0.10132	0.00059116	1691.6	45.254	48.342	132.87	27.826	37.182	474.87	63.117	12.378	0.024882	vapor
103.95	0.10132	0.00059086	1692.5	45.259	48.349	132.89	27.817	37.169	475.00	62.953	12.385	0.024898	vapor
104.13	0.10132	0.00059055	1693.3	45.265	48.356	132.91	27.809	37.157	475.13	62.791	12.392	0.024913	vapor
104.32	0.10132	0.00059024	1694.2	45.270	48.362	132.92	27.800	37.145	475.26	62.629	12.399	0.024928	vapor
104.50	0.10132	0.00058993	1695.1	45.275	48.369	132.94	27.792	37.133	475.38	62.468	12.406	0.024943	vapor
104.68	0.10132	0.00058962	1696.0	45.280	48.376	132.96	27.784	37.121	475.51	62.308	12.413	0.024959	vapor
104.87	0.10132	0.00058931	1696.9	45.285	48.383	132.98	27.776	37.109	475.64	62.149	12.420	0.024974	vapor
105.05	0.10132	0.00058901	1697.8	45.290	48.390	133.00	27.768	37.097	475.77	61.991	12.427	0.024989	vapor
105.23	0.10132	0.00058870	1698.7	45.296	48.396	133.01	27.760	37.086	475.89	61.834	12.434	0.025004	vapor
105.42	0.10132	0.00058839	1699.5	45.301	48.403	133.03	27.752	37.074	476.02	61.677	12.441	0.025020	vapor
105.60	0.10132	0.00058809	1700.4	45.306	48.410	133.05	27.744	37.063	476.15	61.522	12.448	0.025035	vapor
105.78	0.10132	0.00058778	1701.3	45.311	48.417	133.07	27.737	37.052	476.28	61.367	12.455	0.025050	vapor
105.97	0.10132	0.00058748	1702.2	45.316	48.424	133.09	27.729	37.041	476.40	61.212	12.463	0.025065	vapor
106.15	0.10132	0.00058717	1703.1	45.322	48.430	133.10	27.721	37.030	476.53	61.059	12.470	0.025081	vapor
106.33	0.10132	0.00058687	1704.0	45.327	48.437	133.12	27.714	37.019	476.66	60.907	12.477	0.025096	vapor
106.52	0.10132	0.00058656	1704.8	45.332	48.444	133.14	27.707	37.008	476.78	60.755	12.484	0.025111	vapor
106.70	0.10132	0.00058626	1705.7	45.337	48.451	133.16	27.699	36.997	476.91	60.604	12.491	0.025127	vapor
106.88	0.10132	0.00058596	1706.6	45.342	48.457	133.17	27.692	36.986	477.03	60.453	12.498	0.025142	vapor
107.07	0.10132	0.00058565	1707.5	45.347	48.464	133.19	27.685	36.976	477.16	60.304	12.505	0.025157	vapor
107.25	0.10132	0.00058535	1708.4	45.353	48.471	133.21	27.678	36.965	477.29	60.155	12.512	0.025173	vapor
107.43	0.10132	0.00058505	1709.3	45.358	48.478	133.23	27.671	36.955	477.41	60.007	12.519	0.025188	vapor
107.62	0.10132	0.00058475	1710.1	45.363	48.485	133.25	27.664	36.945	477.54	59.859	12.526	0.025203	vapor
107.80	0.10132	0.00058444	1711.0	45.368	48.491	133.26	27.657	36.934	477.66	59.713	12.534	0.025218	vapor
107.98	0.10132	0.00058414	1711.9	45.373	48.498	133.28	27.650	36.924	477.79	59.567	12.541	0.025234	vapor
108.17	0.10132	0.00058384	1712.8	45.378	48.505	133.30	27.644	36.914	477.92	59.421	12.548	0.025249	vapor
108.35	0.10132	0.00058354	1713.7	45.384	48.512	133.32	27.637	36.904	478.04	59.276	12.555	0.025264	vapor
108.53	0.10132	0.00058324	1714.6	45.389	48.518	133.33	27.630	36.894	478.17	59.132	12.562	0.025280	vapor
108.72	0.10132	0.00058294	1715.4	45.394	48.525	133.35	27.624	36.885	478.29	58.989	12.569	0.025295	vapor
108.90	0.10132	0.00058264	1716.3	45.399	48.532	133.37	27.617	36.875	478.42	58.846	12.576	0.025310	vapor
109.08	0.10132	0.00058234	1717.2	45.404	48.539	133.39	27.611	36.865	478.54	58.704	12.583	0.025326	vapor
109.27	0.10132	0.00058204	1718.1	45.409	48.545	133.41	27.605	36.856	478.67	58.563	12.590	0.025341	vapor
109.45	0.10132	0.00058175	1719.0	45.414	48.552	133.42	27.598	36.846	478.79	58.422	12.598	0.025356	vapor
109.63	0.10132	0.00058145	1719.8	45.420	48.559	133.44	27.592	36.837	478.92	58.282	12.605	0.025372	vapor
109.82	0.10132	0.00058115	1720.7	45.425	48.566	133.46	27.586	36.828	479.04	58.142	12.612	0.025387	vapor
110.00	0.10132	0.00058085	1721.6	45.430	48.572	133.48	27.580	36.818	479.16	58.004	12.619	0.025402	vapor
